№,id,Link ru,Link uz - lotincha,,Xizmat nomi - ru,Xizmat nomi - uz,Muxlisa text - RU,Muxlisa text - UZ
315,180,https://my3.gov.uz/ru/service/180,https://my3.gov.uz/uz/service/180,https://my3.gov.uz/y3/service/180,Опломбирование прибора учета тепловой энергии и составления договора теплоснабжения,Иссиқлик энергиясини ҳисобга олиш приборини пломбалаш ва иссиқлик таъминоти шартномасини тузиш,"Услуга предназначена для обеспечения точного учета и надежной поставки тепловой энергии для домов, предприятий и других объектов. Она гарантирует законность и эффективность процесса теплоснабжения.","Ushbu xizmat uylar, korxonalar va boshqa obyektlar uchun issiqlik energiyasini aniq hisobga olish va ishonchli taʼminlash uchun mo‘ljallangan. Bu issiqlik taʼminoti jarayonining qonuniyligi va samaradorligini kafolatlaydi."
316,179,https://my3.gov.uz/ru/service/179,https://my3.gov.uz/uz/service/179,https://my3.gov.uz/y3/service/179,Выдача документа на ввод в эксплуатацию приборов теплопотребления и тепловых сетей потребителей,Истеъмолчиларнинг иссиқликдан фойдаланиш қурилмалари ва иссиқлик тармоқларини ишга тушириш учун далолатнома расмийлаштириш,"Эта услуга включает в себя процесс выдачи документов, подтверждающих готовность и соответствие систем отопления и теплоснабжения установленным стандартам и требованиям.",Ushbu xizmat isitish va issiqlik ta'minoti tizimlarining belgilangan standartlar va talablarga tayyorligi va muvofiqligini tasdiqlovchi hujjatlarni berish jarayonini o'z ichiga oladi.
317,178,https://my3.gov.uz/ru/service/178,https://my3.gov.uz/uz/service/178,https://my3.gov.uz/y3/service/178,Согласование проекта теплоснабжения с теплоснабжающим предприятием,Иссиқлик таъминоти лойиҳасини иссиқлик таъминоти корхонаси билан келишиш,"Услуга предназначена для обеспечения правомерности и соответствия проекта теплоснабжения требованиям безопасности, нормам и стандартам. Это позволяет обеспечить надежное и эффективное теплоснабжение для объектов.","Xizmat issiqlik taʼminoti loyihasining qonuniyligi va xavfsizlik talablari, normalari va standartlariga muvofiqligini taʼminlashga qaratilgan. Bu obyektlarni ishonchli va samarali issiqlik taʼminoti bilan taʼminlash imkonini beradi."
318,177,https://my3.gov.uz/ru/service/177,https://my3.gov.uz/uz/service/177,https://my3.gov.uz/y3/service/177,Постановка граждан на учет в накопительной пенсионной системе,Фуқароларни жамғариб бориладиган пенсия таъминоти тизимига ҳисобга қўйиш,Услуга предоставляется для обеспечения возможности гражданам сохранять и накапливать средства на пенсию в индивидуальных накопительных счетах. Эта услуга позволяет гражданам активно участвовать в формировании своего будущего финансового обеспечения после выхода на пенсию.,Xizmat fuqarolarga pensiyaga chiqish uchun mablag‘larni shaxsiy jamg‘arma hisobvaraqlarida jamg‘arish imkoniyatini berish maqsadida ko‘rsatiladi. Ushbu xizmat fuqarolarga pensiyaga chiqqandan keyin kelajakdagi moliyaviy xavfsizligini shakllantirishda imkonini beradi.
319,176,https://my3.gov.uz/ru/service/176,https://my3.gov.uz/uz/service/176,https://my3.gov.uz/y3/service/176,Согласование проекта электроснабжения для потребителей электрической энергии мощностью свыше 20 кВт,Қуввати 20 кВтдан юқори бўлган электр энергияси истеъмолчилари учун электр таъминоти лойиҳасини келишиш,"Эта услуга включает в себя процесс согласования и одобрения проектной документации, необходимой для подключения объектов с высокой электропотребностью к сети электроснабжения. ",Ushbu xizmat energiya talabi yuqori bo‘lgan obyektlarni elektr taʼminoti tarmog‘iga ulash uchun zarur bo‘lgan loyiha hujjatlarini muvofiqlashtirish va tasdiqlash jarayonini o‘z ichiga oladi.
320,175,https://my3.gov.uz/ru/service/175,https://my3.gov.uz/uz/service/175,https://my3.gov.uz/y3/service/175,Получение технических условий на подключение к сетям теплоснабжения,Иссиқлик таъминоти тармоқларига уланиш учун техник шартларни олиш,"Данная услуга предоставляется для обеспечения информацией и требованиями, необходимыми для успешного подключения объекта к системе теплоснабжения.",Mazkur xizmat obyektni issiqlik taʼminoti tizimiga muvaffaqiyatli ulash uchun zarur bo‘lgan maʼlumotlar va talablarni taʼminlash uchun taqdim etiladi.
321,173,https://my3.gov.uz/ru/service/173,https://my3.gov.uz/uz/service/173,https://my3.gov.uz/y3/service/173,"Получение технических условий на подключение к газовым сетям давлением не более 1,2 МПа","1,2 МПа босимдан юқори бўлмаган газ тармоқларига уланишга техник шартларни олиш","Предлагаемая услуга предназначена для обеспечения информацией и требованиями, необходимыми для безопасного и правильного подключения объекта к газоснабжающей сети.",Taklif etilayotgan xizmat obyektni gaz taʼminoti tarmog‘iga xavfsiz va to‘g‘ri ulash uchun zarur bo‘lgan maʼlumotlar va talablarni taʼminlash uchun mo‘ljallangan.
322,172,https://my3.gov.uz/ru/service/172,https://my3.gov.uz/uz/service/172,https://my3.gov.uz/y3/service/172,Получение технических условий на подключение к электрическим сетям до 20 кВт,20 кВт дан юқори бўлмаган электр тармоқларига уланиш учун техник шартларни олиш,"Услуга предоставляется для обеспечения информацией и требованиями, необходимыми для безопасного и правильного подключения объекта к сети электроснабжения мощностью не более 20 киловатт.",Xizmat obyektni quvvati 20 kilovattdan ortiq bo‘lmagan elektr taʼminoti tarmog‘iga xavfsiz va to‘g‘ri ulash uchun zarur bo‘lgan maʼlumotlar va talablarni taʼminlash uchun taqdim etiladi.
323,170,https://my3.gov.uz/ru/service/170,https://my3.gov.uz/uz/service/170,https://my3.gov.uz/y3/service/170,Разрешение на специальное водопользование или водопотребление (из естественных водных объектов),Сувдан махсус фойдаланиш ёки сувни махсус истеъмол қилишга рухсатнома бериш (табиий сув объектларидан),"Эта услуга включает в себя выдачу разрешения на использование воды из естественных водных источников для различных целей, таких как промышленность, сельское хозяйство, коммерческие и домашние нужды. ","Ushbu xizmat sanoat, qishloq xo‘jaligi, tijorat va maishiy maqsadlarda tabiiy suv manbalaridan foydalanishga ruxsat berishni o‘z ichiga oladi."
324,169,https://my3.gov.uz/ru/service/169,https://my3.gov.uz/uz/service/169,https://my3.gov.uz/y3/service/169,Заключение договора на оказание услуг водоснабжения и водоотведения,Сув таъминоти ва сувни чиқариб ташлаш хизматлари шартномасини тузиш,Эта услуга включает в себя процесс заключения договора между потребителем и водоснабжающей компанией или водоотведенческой организацией. ,Ushbu xizmat iste'molchi va suv ta'minoti korxonasi yoki oqava suv tashkiloti o'rtasida shartnoma tuzish jarayonini o'z ichiga oladi.
325,168,https://my3.gov.uz/ru/service/168,https://my3.gov.uz/uz/service/168,https://my3.gov.uz/y3/service/168,Согласование проекта водоснабжения и водоотведения,Сув таъминоти ва сувни чиқариб ташлаш лойиҳасини келишиш,Услуга предоставляется для обеспечения контроля и соблюдения стандартов и нормативов при разработке и реализации проектов систем водоснабжения и водоотведения.,Xizmat suv ta'minoti va oqava suv tizimlari loyihalarini ishlab chiqish va amalga oshirishda standartlar va qoidalarga nazorat qilish va ularga rioya qilishni ta'minlash uchun taqdim etiladi.
326,167,https://my3.gov.uz/ru/service/167,https://my3.gov.uz/uz/service/167,https://my3.gov.uz/y3/service/167,Разрешение на специальное водопользование или водопотребление (из искусственных водных объектов),Сунъий сув объектларидан махсус фойдаланиш ёки сувни махсус истеъмол қилишга рухсатнома олиш,Услуга предназначена для регулирования и контроля использования искусственно созданных водных ресурсов и обеспечения их устойчивого и экологически безопасного использования.,Xizmat sunʼiy ravishda yaratilgan suv resurslaridan foydalanishni tartibga solish va nazorat qilish hamda ulardan barqaror va ekologik toza foydalanishni taʼminlashga qaratilgan.
327,166,https://my3.gov.uz/ru/service/166,https://my3.gov.uz/uz/service/166,https://my3.gov.uz/y3/service/166,Получение технических условий на подключение к сетям водоснабжения и водоотведения,Сув таъминоти ва сувни чиқариб ташлаш тармоқларига уланиш учун техник шартларни олиш,"Предлагаемая услуга предназначена для обеспечения информацией и требованиями, необходимыми для безопасного и правильного подключения объекта к системам водоснабжения и водоотведения.",Taklif etilayotgan xizmat obyektni suv taʼminoti va oqava suv tizimlariga xavfsiz va to‘g‘ri ulash uchun zarur bo‘lgan maʼlumot va talablarni taʼminlash uchun mo‘ljallangan.
328,165,https://my3.gov.uz/ru/service/165,https://my3.gov.uz/uz/service/165,https://my3.gov.uz/y3/service/165,Калькулятор налога на доходы,Даромад солиғи калькулятори,Этот онлайн-инструмент позволяет оценить ожидаемую сумму налога на доходы на основе ваших доходов и других финансовых данных,Xizmat sizning daromadingiz va boshqa moliyaviy maʼlumotlaringiz asosida kutilayotgan daromad solig‘ini hisoblash imkonini beradi
329,157,https://my3.gov.uz/ru/service/157,https://my3.gov.uz/uz/service/157,https://my3.gov.uz/y3/service/157,Разработка архитектурно-планировочного задания,Архитектура-режалаштириш топшириғини ишлаб чиқиш,"Услуга предоставляется для создания основного документа, определяющего параметры и требования к строительству, реконструкции, или регулированию земельных участков.","Xizmat yer uchastkalarini qurish, rekonstruksiya qilish yoki tartibga solish parametrlari va talablarini belgilovchi asosiy hujjatni yaratish uchun taqdim etiladi."
330,156,https://my3.gov.uz/ru/service/156,https://my3.gov.uz/uz/service/156,https://my3.gov.uz/y3/service/156,Разрешение на перепрофилирование и реконструкцию объекта,Объектни қайта ихтисослаштириш ва реконструкция қилиш учун рухсатнома,Разрешение на перепрофилирование и реконструкцию объекта позволяет владельцам или разработчикам недвижимости изменить функциональное назначение объекта или провести его реконструкцию в соответствии с установленными нормами и правилами.,Obyektni qayta ixtisoslashtirish va rekonstruksiya qilishga ruxsat berish ko‘chmas mulk egalari yoki quruvchilarga mulkning funksional maqsadini o‘zgartirish yoki belgilangan normalar va qoidalarga muvofiq uni rekonstruksiya qilish imkonini beradi.
331,155,https://my3.gov.uz/ru/service/155,https://my3.gov.uz/uz/service/155,https://my3.gov.uz/y3/service/155,Согласование изменения внешнего вида здания и сооружения,Бино ва иншоотнинг ташқи кўринишини ўзгартиришни келишиш,"Согласование изменения внешнего вида здания и сооружения позволяет владельцам или разработчикам недвижимости изменить внешний облик уже существующего здания или сооружения в соответствии с местными нормами, архитектурными стандартами и правилами градостроительства.","Bino va inshootning tashqi ko‘rinishni o‘zgartirish ko‘chmas mulk egalari yoki ishlab chiquvchilarga mavjud bino yoki inshootning tashqi ko‘rinishini mahalliy meʼyorlar, arxitektura standartlari va qurilish qoidalariga muvofiq o‘zgartirish imkonini beradi."
332,154,https://my3.gov.uz/ru/service/154,https://my3.gov.uz/uz/service/154,https://my3.gov.uz/y3/service/154,Калькулятор налога на имущество,Мол-мулк солиғи калькулятори,"Калькулятор налога на имущество - это онлайн-инструмент, предоставляемый государственными органами или муниципалитетами, который позволяет владельцам недвижимого имущества или других ценных активов оценить сумму налога, который им придется уплатить на основе стоимости и характеристик их имущества. ","Mol-mulk solig‘i kalkulyatori - bu davlat idoralari yoki munitsipalitetlar tomonidan taqdim etiladigan onlayn vosita bo‘lib, u ko‘chmas mulk yoki boshqa qimmatbaho aktivlar egalariga o‘z mulkining qiymati va xususiyatlaridan kelib chiqib to‘lashi kerak bo‘lgan soliq miqdorini hisoblash imkonini beradi."
333,153,https://my3.gov.uz/ru/service/153,https://my3.gov.uz/uz/service/153,https://my3.gov.uz/y3/service/153,Добровольное временное приостановление действия регистрационного удостоверения,Ўз хоҳиши билан рўйхатдан ўтказиш гувоҳномасини вақтинча тўхтатиб туриш,"Временное приостановление действия удостоверения на работу с драгоценными металлами  — это государственная услуга, предоставляемая компетентными органами для лиц, обладающих удостоверением, позволяющим работать с драгоценными металлами, и которые временно не могут или не желают осуществлять такую деятельность в течение определенного периода времени. Это может потребоваться в ситуациях, когда лицо временно не может или не планирует заниматься торговлей, производством или другими видами деятельности, связанными с драгоценными металлами.","Qimmatbaho metallar bilan ishlashga ruxsat beruvchi guvohnomaga ega bo‘lgan hamda muayyan muddat davomida bunday faoliyat bilan shug‘ullanishni vaqtinchalik imkoniyati bo‘lmagan yoki amalga oshirishni istamaydigan shaxslarga vakolatli organlar tomonidan ko‘rsatiladigan davlat xizmati qimmatbaho metallar bilan ishlash litsenziyasining amal qilishini vaqtincha to‘xtatib turish hisoblanadi. Bu shaxs vaqtinchalik savdo, ishlab chiqarish yoki qimmatbaho metallar bilan bog‘liq boshqa faoliyat bilan shug‘ullanish imkoniyatiga ega bo‘lmagan yoki rejalashtirmagan holatlarda talab qilinishi mumkin."
334,138,https://my3.gov.uz/ru/service/138,https://my3.gov.uz/uz/service/138,https://my3.gov.uz/y3/service/138,Реквизиты единых казначейских расчетных счетов налоговых органов,Солиқ органларининг ягона ғазна ҳисоб рақамлари реквизитлари,"Реквизиты предоставляются налогоплательщикам и компаниям, чтобы обеспечить правильную и своевременную уплату налоговых обязательств.",Soliq majburiyatlarining toʻgʻri va oʻz vaqtida toʻlanishini taʼminlash maqsadida soliq toʻlovchilar va kompaniyalarga batafsil maʼlumotlar taqdim etiladi.
335,135,https://my3.gov.uz/ru/service/135,https://my3.gov.uz/uz/service/135,https://my3.gov.uz/y3/service/135,Подача заявления на получение справок об отсутствии (наличии) судимости,Судланмаганлик (ёки судланганлик) тўғрисида маълумотномаларни олиш учун ариза юбориш,"Эти справки могут потребоваться при трудоустройстве, в процессе оформления визы, при заключении брака и в других ситуациях, где требуется подтверждение судимости или ее отсутствие.","Ushbu maʼlumotnoma ishga joylashish, viza topshirish jarayonida, nikoh paytida va sudlanganlik yoki uning yo‘qligi to‘g‘risidagi guvohnoma talab qilinadigan boshqa holatlarda talab qilinishi mumkin."
336,133,https://my3.gov.uz/ru/service/133,https://my3.gov.uz/uz/service/133,https://my3.gov.uz/y3/service/133,Подача заявления в ЗАГС на регистрацию брака,Никоҳни қайд этиш учун ФҲДЁ органига ариза юбориш,"С помощью данной услуги вы можете без особых хлопот, не выходя из дома, отправить онлайн заявление на регистрацию брака в органы ЗАГС.","Xizmatdan foydalanib, FHDYO bo‘limlariga nikohni qayd etish uchun ortiqcha ovoragarchiliklarsiz, uydan chiqmagan holda onlayn ariza yuborishingiz mumkin."
337,132,https://my3.gov.uz/ru/service/132,https://my3.gov.uz/uz/service/132,https://my3.gov.uz/y3/service/132,Предоставление адресно-справочной информации,Манзил-маълумот ахборотларини тақдим этиш,"Государственные органы предоставляют адресно-справочную информацию для обеспечения доступности и удобства обслуживания граждан. Эта информация может включать в себя адреса государственных учреждений, контактные данные, рабочее время, и другую полезную информацию, которая помогает людям находить необходимые государственные услуги и учреждения.","Davlat organlari fuqarolarga xizmat ko‘rsatishdan foydalanish qulayligini taʼminlash maqsadida manzil va maʼlumotnoma maʼlumotlarini taqdim etadi. Bu maʼlumotlar davlat idoralari manzillari, aloqa maʼlumotlari, ish vaqti va odamlarga kerakli davlat xizmatlari va idoralarini topishga yordam beradigan boshqa foydali maʼlumotlarni o‘z ichiga olishi mumkin."
338,127,https://my3.gov.uz/ru/service/127,https://my3.gov.uz/uz/service/127,https://my3.gov.uz/y3/service/127,Уведомление об обеспечении уплаты таможенных платежей за перемещение иностранных товаров,Чет эл товарларининг ҳаракатига божхона тўловлари тўланишини таъминлаш ҳақида хабарнома бериш,"Эта услуга предназначена для лиц, которые перемещают иностранные товары через таможенную границу и хотят обеспечить уплату соответствующих таможенных платежей.",Ushbu xizmat chet el tovarlarini bojxona chegarasi orqali olib o'tuvchi va tegishli bojxona to'lovlari to'lanishini ta'minlashni istagan shaxslarga mo'ljallangan.
339,126,https://my3.gov.uz/ru/service/126,https://my3.gov.uz/uz/service/126,https://my3.gov.uz/y3/service/126,"Справка об отсутствии налоговой задолженности юридических лиц, физических лиц и индивидуальных предпринимателей","Юридик шахслар, жисмоний шахслар ҳамда якка тартибдаги тадбиркорларнинг солиқ қарзи мавжуд эмаслиги тўғрисида маълумотнома","После подачи запроса налоговый орган проводит проверку на наличие налоговой задолженности и, если таковая отсутствует, выдает справку об этом факте. Эта справка может быть использована в различных юридических и финансовых процессах.

","So‘rov yuborilgandan so‘ng, soliq organi soliq qarzining mavjudligini tekshiradi va agar qarzdorlik mavjud bo‘lmasa, ushbu fakt to‘g‘risida maʼlumotnoma beradi. Ushbu maʼlumotnoma turli yuridik va moliyaviy jarayonlarda ishlatilishi mumkin."
340,121,https://my3.gov.uz/ru/service/121,https://my3.gov.uz/uz/service/121,https://my3.gov.uz/y3/service/121,Личные карты юридических лиц,Юридик шахсларнинг шахсий карточкалари,"Личные карты юридических лиц обычно используются для предоставления ключевой информации о компании потенциальным партнерам, инвесторам, клиентам и государственным органам. Они помогают сделать прозрачными финансовое состояние и деятельность организации, что может быть важным при принятии решений о сотрудничестве или инвестировании.","Yuridik shaxs kartalari odatda potensial hamkorlar, investorlar, mijozlar va davlat organlariga kompaniya haqidagi asosiy maʼlumotlarni taqdim etish uchun ishlatiladi. Ular tashkilotning moliyaviy holati va faoliyatini shaffof qilishga yordam beradi, bu hamkorlik yoki investitsiya to‘g‘risida qaror qabul qilishda muhim bo‘lishi mumkin."
341,120,https://my3.gov.uz/ru/service/120,https://my3.gov.uz/uz/service/120,https://my3.gov.uz/y3/service/120,Запись на прием к руководству ЗАГС,ФҲДЁ раҳбари қабулига ёзилиш,"Пользователи могут выбирать удобное время и дату для приема, заполнять необходимые формы заранее и получать подтверждение записи. Это помогает снизить ожидание и улучшить доступность государственных услуг.","Foydalanuvchilar o‘z qabullari uchun qulay vaqt va sanani tanlashlari, kerakli shakllarni oldindan to‘ldirishlari va uchrashuvga kelishilganligi haqidagi tasdiqnoma olishlari mumkin. Bu kutishlarni kamaytirish va davlat xizmatlaridan foydalanish imkoniyatini yaxshilashga yordam beradi."
342,119,https://my3.gov.uz/ru/service/119,https://my3.gov.uz/uz/service/119,https://my3.gov.uz/y3/service/119,Предоставление информации о плательщиках налога на добавленную стоимость,Қўшилган қиймат солиғи тўловчилари ҳақида маълумот олиш,"Эта информация может быть полезна как для бизнесов, которые сотрудничают с другими компаниями и хотят проверить их налоговый статус, так и для государственных органов, которые мониторят и контролируют уплату НДС.","Bu maʼlumotlar boshqa kompaniyalar bilan hamkorlik qiluvchi va ularning soliq holatini tekshirishni xohlovchi korxonalar uchun ham, QQS to‘lanishini nazorat qiluvchi davlat organlari uchun ham foydali bo‘lishi mumkin."
343,118,https://my3.gov.uz/ru/service/118,https://my3.gov.uz/uz/service/118,https://my3.gov.uz/y3/service/118,Налоговые льготы для юридических лиц,Юридик шахслар учун солиқ имтиёзлари,"Налоговые льготы для юридических лиц представляют собой государственные меры, которые предоставляются компаниям и организациям для снижения налоговой нагрузки и стимулирования определенных видов деятельности или инвестиций. ","Yuridik shaxslar uchun soliq imtiyozlari - bu korxonalar va tashkilotlarga ularning soliq yukini kamaytirish, faoliyatning ayrim turlari yoki investitsiyalarini rag‘batlantirish uchun ko‘rsatiladigan davlat choralari."
344,115,https://my3.gov.uz/ru/service/115,https://my3.gov.uz/uz/service/115,https://my3.gov.uz/y3/service/115,Получение справки о наличии/отсутствии собственного жилья,Фуқароларнинг номида шахсий уй-жойи борлиги ёки йўқлиги тўғрисидаги маълумотнома олиш,"Эта услуга позволяет гражданам получить официальное подтверждение о том, являются ли они собственниками жилья или нет.",Ushbu xizmat fuqarolarga uy-joy mulkdori ekanligi yoki bo‘lmaganligi to‘g‘risida rasmiy maʼlumotnoma olish imkonini beradi.
345,112,https://my3.gov.uz/ru/service/112,https://my3.gov.uz/uz/service/112,https://my3.gov.uz/y3/service/112,"Получение справки о заключении брака, не состоянии в браке или о разводе","Никоҳ қайд этилганлиги, никоҳда турмаслиги ёки никоҳдан ажралганлиги тўғрисидаги маълумотномани олиш","Эта услуга позволяет гражданам получить официальную справку о своем семейном статусе и событиях, связанных с браком и разводом.","Ushbu xizmat fuqarolarga ularning oilaviy ahvoli, nikoh yoki ajrashish bilan bog'liq ma'lumotnoma olish imkonini beradi."
346,108,https://my3.gov.uz/ru/service/108,https://my3.gov.uz/uz/service/108,https://my3.gov.uz/y3/service/108,Разрешение на содержание диких животных в неволе,Ёввойи ҳайвонларни тутқунликда сақлашга рухсатнома,"Разрешение на содержание диких животных в неволе - это государственная услуга, предоставляемая гражданам и организациям, которые желают содержать диких животных в неволе, в соответствии с законодательством и нормами безопасности.",Yovvoyi hayvonlarni tutqunlikda saqlashga ruxsatnoma qonunlar va xavfsizlik standartlariga muvofiq yovvoyi hayvonlarni tutqunlikda saqlashni xohlovchi fuqarolar va tashkilotlarga ko‘rsatiladigan davlat xizmatidir.
347,102,https://my3.gov.uz/ru/service/102,https://my3.gov.uz/uz/service/102,https://my3.gov.uz/y3/service/102,"Предварительное электронное информирование органов государственной таможенной службы о товарах и транспортных средствах, перемещаемых через таможенную границу Республики Узбекистан автомобильным транспортом",Ўзбекистон Республикасининг божхона чегараси орқали товарлар ва транспорт воситаларини автомобил транспортида олиб ўтишда юк ташувчилар томонидан Давлат божхона хизмати органларига олдиндан электрон маълумот тақдим этиш,Услуга предназначена для обеспечения контроля за перемещением товаров и транспортных средств через таможенную границу Узбекистана.,Xizmat O‘zbekiston bojxona chegarasi orqali tovarlar va transport vositalarini olib o‘tish ustidan nazoratni ta’minlashga mo‘ljallangan.
348,97,https://my3.gov.uz/ru/service/97,https://my3.gov.uz/uz/service/97,https://my3.gov.uz/y3/service/97,"Свидетельство о постановке на учет питомника по содержанию и разведению диких животных, а также зоологических коллекций","Ёввойи хайвонлар сақланадиган ва урчитиладиган питомникларни, шунингдек зоология коллекцияларини хисобга қўйиш тўғрисидаги гувоҳнома","Свидетельство о постановке на учет питомника по содержанию и разведению диких животных, а также зоологических коллекций представляет собой официальный документ, удостоверяющий право лица или организации заниматься разведением и содержанием диких животных или формировать зоологические коллекции в соответствии с законодательством страны.","Yovvoyi hayvonlarni boqish va ko‘paytirish pitomnigini, shuningdek zoologiya kolleksiyalarini hisobiga qo‘yish to‘g‘risidagi guvohnoma shaxs yoki tashkilotning qonun hujjatlariga muvofiq yovvoyi hayvonlarni ko‘paytirish va saqlash bilan shug‘ullanish yoki zoologiya kolleksiyalarini tashkil etish huquqini tasdiqlovchi rasmiy hujjatdir."
349,96,https://my3.gov.uz/ru/service/96,https://my3.gov.uz/uz/service/96,https://my3.gov.uz/y3/service/96,Представление данных по внешнеторговым контрактам в Единую электронную информационную систему внешнеторговых операций,Ташқи иқтисодий фаолиятга тегишли контракт (шартномалар) маълумотларини Ташқи савдо операцияларининг ягона электрон ахборот тизимига киритиш,"Организации и лица, занимающиеся внешней торговлей, должны следить за сроками и требованиями предоставления данных в систему, чтобы соблюдать законодательство и нормы регулирования внешнеторговой деятельности.",Tashqi savdo bilan shug‘ullanuvchi tashkilotlar qonunlar va tashqi savdo qoidalariga rioya qilish uchun tizimga maʼlumotlarni taqdim etish muddatlari va talablarini nazorat qilishlari kerak.
350,94,https://my3.gov.uz/ru/service/94,https://my3.gov.uz/uz/service/94,https://my3.gov.uz/y3/service/94,"Получение нового разрешения на ввоз и вывоз дикорастущих растений, их частей",Ёввойи ўсимликларни ва уларнинг қисмларини олиб кириш ва олиб чиқиш учун янги рухсатнома олиш,Эта услуга может потребоваться для обеспечения охраны биоразнообразия и предотвращения незаконной торговли дикими растениями.,Ushbu xizmat biologik xilma-xillikni muhofaza qilishni taʼminlash va yovvoyi o‘simliklarning noqonuniy savdosini oldini olish uchun talab qilinishi mumkin.
351,91,https://my3.gov.uz/ru/service/91,https://my3.gov.uz/uz/service/91,https://my3.gov.uz/y3/service/91,Почтовая декларация,Почта декларацияси,"Почтовая декларация — это государственная услуга, предоставляемая почтовыми организациями, которая позволяет отправителю и получателю почтовой отправки оформить специальный документ, содержащий информацию о содержимом посылки или письма в целях декларации и обеспечения соблюдения законодательства и правил пересылки.","Pochta deklaratsiyasi – pochta aloqasi tashkilotlari tomonidan ko‘rsatiladigan davlat xizmati bo‘lib, pochta jo‘natmasini jo‘natuvchi va oluvchiga deklaratsiyalash hamda qonun hujjatlari va jo‘natish qoidalariga rioya etilishini ta’minlash maqsadida jo‘natma yoki xatning mazmuni to‘g‘risidagi ma’lumotlarni o‘z ichiga olgan maxsus hujjat berish imkonini beradi."
352,90,https://my3.gov.uz/ru/service/90,https://my3.gov.uz/uz/service/90,https://my3.gov.uz/y3/service/90,"Разрешение на ввоз и вывоз диких животных, а также их частей, продуктов жизнедеятельности, зоологических коллекций, трофеев, чучел, не занесенных в Красную книгу Республики Узбекистан","Ўзбекистон Республикаси Қизил китобга киритилмаган ёввойи ҳайвонларни, уларнинг қисмларини, шунингдек яшаш фаолияти маҳсулотларини олиб кириш ва четга олиб чиқиш рухсатнома","Эта услуга, предоставляемая компетентными органами в Узбекистане, которая позволяет оформить разрешение на ввоз или вывоз дикой природы и её частей, а также других связанных с ней материалов и предметов.","Bu O‘zbekistondagi vakolatli organlar tomonidan taqdim etiladigan xizmat bo‘lib, hayvonot dunyosi va uning qismlarini hamda boshqa tegishli materiallar va buyumlarni olib kirish yoki olib chiqish uchun ruxsat olish imkonini beradi."
353,85,https://my3.gov.uz/ru/service/85,https://my3.gov.uz/uz/service/85,https://my3.gov.uz/y3/service/85,"Предварительная декларация о доходах физического лица, получаемых от предоставления имущества в аренду (найм) физическим лицам",Жисмоний шахсларга мол-мулкни ижарага беришдан олинган жисмоний шахснинг даромадлари тўғрисидаги дастлабки тарздаги декларация,"Физические лица, предоставляющие имущество в аренду, должны тщательно следить за сроками представления декларации и уплаты налогов в соответствии с требованиями налоговых органов и законодательства.",Mulkni ijaraga beruvchi jismoniy shaxslar soliq organlari va qonun hujjatlari talablariga muvofiq deklaratsiyalarni taqdim etish va soliqlarni to‘lash muddatlarini diqqat bilan kuzatib borishlari shart.
354,82,https://my3.gov.uz/ru/service/82,https://my3.gov.uz/uz/service/82,https://my3.gov.uz/y3/service/82,Получение информации о ввозимых грузах на автотранспортных средствах на территорию Республики Узбекистан,Ўзбекистон Республикаси ҳудудида автотранспорт воситаси орқали олиб кирилаётган юк ҳақида маълумот олиш,"Эта услуга позволяет получить информацию о грузах, которые перевозятся через границу на автотранспортных средствах, и обеспечивает контроль и регулирование ввоза товаров на территорию страны.",Ushbu xizmat chegaradan avtotransport vositalari orqali olib o‘tilayotgan tovarlar to‘g‘risida maʼlumot olish imkonini beradi hamda tovarlarni respublikaga olib kirishni nazorat qilish va tartibga solishni taʼminlaydi.
355,81,https://my3.gov.uz/ru/service/81,https://my3.gov.uz/uz/service/81,https://my3.gov.uz/y3/service/81,Получение информации о ввозимых грузах железнодорожным транспортом на территорию Республики Узбекистан,Ўзбекистон Республикаси ҳудудига темирйўл транспорт воситаси орқали олиб кирилаётган юк ҳақида маълумот олиш,"Эта услуга предоставляет информацию о грузах, которые перевозятся железнодорожным транспортом через границу и на территорию страны.",Ushbu xizmat temir yo‘l transporti orqali chegaradan mamlakatga olib o‘tiladigan tovarlar haqida maʼlumot beradi.
356,80,https://my3.gov.uz/ru/service/80,https://my3.gov.uz/uz/service/80,https://my3.gov.uz/y3/service/80,Информация об автотранспорте,Автотранспорт воситалари ҳақида маълумот,Эта услуга предназначена для предоставления информации о зарегистрированных автотранспортных средствах и их владельцах. ,Ushbu xizmat ro'yxatdan o'tgan avtotransport vositalari va ularning egalari haqida ma'lumot berish uchun mo'ljallangan.
357,78,https://my3.gov.uz/ru/service/78,https://my3.gov.uz/uz/service/78,https://my3.gov.uz/y3/service/78,Предоставление выписки из плана-графика проверок хозяйствующим субъектам и контролирующим органам,Хўжалик юритувчи субъектларга текшириш режа жадвалидан кўчирма тақдим этиш,"Эта услуга способствует установлению баланса между необходимостью государственного контроля и надзора и уважением к правам и интересам хозяйствующих субъектов. Хозяйствующим субъектам следует своевременно узнавать о предстоящих проверках и соблюдать требования, установленные контролирующими органами.",Ushbu xizmat davlat nazoratiga bo‘lgan ehtiyoj hamda tadbirkorlik subyektlarining huquq va manfaatlarini hurmat qilish o‘rtasidagi muvozanatni saqlashga yordam beradi. Tadbirkorlik subyektlari bo‘lajak tekshiruvlar to‘g‘risida zudlik bilan xabardor bo‘lishlari va nazorat qiluvchi organlar tomonidan belgilangan talablarga rioya qilishlari kerak.
